arm,stage,completed_updates,partition,joint_cosine,native_alignment_u8,native_alignment_real,margin_change_u8,margin_change_real,fraction_negative_joint_cosine,fraction_positive_u8_margin,fraction_u8_jointly_useful,valid_query_count,undefined_query_count
baseline,pretrained,0,sequential,-0.2951718700291508,0.12250261540668816,0.2968907540849841,-0.10843091777860536,1.1187952558975667,0.7998046875,0.412109375,0.412109375,1024,0
baseline,pretrained,0,shuffle_seed_42,-0.29516223108745976,0.13781126329695326,0.30669229091040506,-0.09815600860974882,1.1249823377584107,0.7890625,0.41015625,0.41015625,1024,0
baseline,pretrained,0,shuffle_seed_123,-0.30566534955744373,0.1242023669066441,0.30555238429360543,-0.11925403515624566,1.1225629640975967,0.8115234375,0.3857421875,0.3857421875,1024,0
baseline,pretrained,0,shuffle_seed_4242,-0.27967422081928817,0.14585315822615996,0.2961971473705489,-0.08060997912934909,1.1237775658955798,0.798828125,0.431640625,0.431640625,1024,0
baseline,before_auxiliary,1001,sequential,-0.12291056426404623,0.31232563052886064,0.34384176843468595,0.176776050366243,1.1701774512184784,0.626953125,0.666015625,0.666015625,1024,0
baseline,before_auxiliary,1001,shuffle_seed_42,-0.1209392737437156,0.3285040764715177,0.3614762153611082,0.188045843204236,1.1823087533120997,0.625,0.6533203125,0.6533203125,1024,0
baseline,before_auxiliary,1001,shuffle_seed_123,-0.12629793309568704,0.32264887236266304,0.36081486725697687,0.17684145086059289,1.1803657449199818,0.6396484375,0.6513671875,0.6513671875,1024,0
baseline,before_auxiliary,1001,shuffle_seed_4242,-0.1386889921986949,0.3134008804624955,0.3652513243177964,0.16260852746881937,1.1809908318100497,0.6484375,0.634765625,0.634765625,1024,0
baseline,after_ramp,2001,sequential,-0.1278879794259069,0.32118165227979034,0.369554707844145,0.17612949235990527,1.1790435719303787,0.6357421875,0.6484375,0.6484375,1024,0
baseline,after_ramp,2001,shuffle_seed_42,-0.13080226740693313,0.3337469244074782,0.3916875960132984,0.1799697089863912,1.1936749538290314,0.6513671875,0.634765625,0.634765625,1024,0
baseline,after_ramp,2001,shuffle_seed_123,-0.1355187453527833,0.328336760726188,0.39259574187676094,0.16937470132643284,1.1935796509496868,0.6396484375,0.6142578125,0.6142578125,1024,0
baseline,after_ramp,2001,shuffle_seed_4242,-0.1433827945613757,0.3215219384985062,0.3955426369873294,0.16051427296679321,1.1923533742665313,0.65625,0.6162109375,0.6162109375,1024,0
baseline,late,3850,sequential,-0.13313263758413996,0.3198676924861985,0.3853774018925833,0.16933342668335172,1.18825218064012,0.6435546875,0.6416015625,0.6416015625,1024,0
